has_title,has_input,has_button,has_image,has_submit,has_link,has_password,has_email_input,has_hidden_element,has_audio,has_video,number_of_inputs,number_of_buttons,number_of_images,number_of_option,number_of_list,number_of_th,number_of_tr,number_of_href,number_of_paragraph,number_of_script,length_of_title,URL,label
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,19,https://allegrolokalnie.073523.vu/samsung-s-25-ultra-nowy/29053,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,19,https://allegrolokalnie.073523.vu/samsung-s-25-ultra-nowy/48867,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,18,https://allegrolokalnie.plsd9klffgterqp01xk.icu,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,18,http://allegro.79346.cfd,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,19,http://allegrolokalnie.pl-oferta82736122.cfd/,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,19,https://allegrolokalnie.pl-oferta82736122.cfd/,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,18,https://allegrolokalnie.pl-90540.cfd,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,18,http://allegro.pl-oferta6734153.icu,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,18,https://allegro.pl-90540.cfd,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,18,https://allegrolokalnie.pl-oferta6734153.icu,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,18,http://allegrolokalnie.pl-7321656.sbs,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,19,https://www.monetas.cfd/yyxdajrsjdhpMhdgqgknrt,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,19,https://www.nexouas.cfd/bdpdfkomauboMmdqtfthdt,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,19,https://www.cfdbit.cfd/cfddWnLopbitMnhERdyubtL,1
1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,10,0,34,64,https://monchis-drivers.vercel.app/,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,19,https://acc-amex.ueno-won.com/,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,19,https://acc-amex.ueno-won.com/login,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,19,https://dpd-ss.click/,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,19,http://allegrolokalnie.pl-oferta9932647.sbs,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,19,https://entrecabos.com/,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,19,https://app-trezor-info.live/,1
1,1,0,1,0,1,1,0,1,0,0,6,0,3,0,0,0,0,1,2,4,7,http://bafybeie7lbm2yjucacnbbj5lzuxh7hfqf6v27ohwsnzbsbxm5ikxob3pim.ipfs.dweb.link,1
1,0,1,1,0,1,0,0,0,0,1,0,7,16,0,0,0,0,13,120,17,8,https://website-krakenio.daftpage.com/,1
1,0,1,1,0,1,0,0,0,0,1,0,7,16,0,0,0,0,13,120,17,8,http://website-krakenio.daftpage.com,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,19,https://sw.run/eHi19,1
1,0,1,1,0,1,0,0,0,0,0,0,2,4,0,1,0,0,7,4,5,14,https://santanderlink.netlify.app/,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,19,https://amexone.fornoitalic.com/,1
